disorder,prop_disorder,n_agents,p,s,m,n,dict_get_mode,dict_return_mode,avg_demand,avg_util,max_prop_disorder,max_disorder,scenario,run_time,single_stack_disorder
0,0.0,1000,0.0,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,2.9772207736968994,
0,0.0,1000,0.0,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,2.9772207736968994,
0,0.0,1000,0.0,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,2.9772207736968994,
0,0.0,1000,0.0,3,20,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,2.9772207736968994,
0,0.0,1000,0.0,3,40,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.4218752384185791,
0,0.0,1000,0.0,3,40,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.4218752384185791,
0,0.0,1000,0.0,3,40,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.4218752384185791,
0,0.0,1000,0.0,3,40,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.4218752384185791,
0,0.0,1000,0.0,3,60,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.5475397109985352,
0,0.0,1000,0.0,3,60,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.5475397109985352,
0,0.0,1000,0.0,3,60,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.5475397109985352,
0,0.0,1000,0.0,3,60,0,{'random': 1},{'random': 1},27.77777777777778,1.0,0.0,0.0,random,0.5475397109985352,
2,0.03333333333333333,1000,0.05,3,20,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.03333333333333334,2.0000000000000004,random,0.6189274787902832,
1,0.016666666666666666,1000,0.05,3,20,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.03333333333333334,2.0000000000000004,random,0.6189274787902832,
0,0.0,1000,0.05,3,20,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.03333333333333334,2.0000000000000004,random,0.6189274787902832,
0,0.0,1000,0.05,3,20,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.03333333333333334,2.0000000000000004,random,0.6189274787902832,
0,0.0,1000,0.05,3,40,2,{'random': 1},{'random': 1},27.77777777777778,4.62962962962963,0.03333333333333334,4.000000000000001,random,0.6383249759674072,
0,0.0,1000,0.05,3,40,2,{'random': 1},{'random': 1},27.77777777777778,4.62962962962963,0.03333333333333334,4.000000000000001,random,0.6383249759674072,
1,0.008333333333333333,1000,0.05,3,40,2,{'random': 1},{'random': 1},27.77777777777778,4.62962962962963,0.03333333333333334,4.000000000000001,random,0.6383249759674072,
1,0.008333333333333333,1000,0.05,3,40,2,{'random': 1},{'random': 1},27.77777777777778,4.62962962962963,0.03333333333333334,4.000000000000001,random,0.6383249759674072,
0,0.0,1000,0.05,3,60,3,{'random': 1},{'random': 1},27.77777777777778,3.0864197530864197,0.03333333333333334,6.000000000000001,random,0.6243090629577637,
1,0.005555555555555556,1000,0.05,3,60,3,{'random': 1},{'random': 1},27.77777777777778,3.0864197530864197,0.03333333333333334,6.000000000000001,random,0.6243090629577637,
