disorder,prop_disorder,n_agents,p,s,m,n,dict_get_mode,dict_return_mode,avg_demand,avg_util,max_prop_disorder,max_disorder,scenario,run_time
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,0.25,0.0,0.0,random,2.3651723861694336
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,0.25,0.0,0.0,random,2.3651723861694336
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,0.25,0.0,0.0,random,2.3651723861694336
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,0.25,0.0,0.0,random,2.3651723861694336
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,0.5,0.0,0.0,random,0.03989100456237793
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,0.5,0.0,0.0,random,0.03989100456237793
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,0.5,0.0,0.0,random,0.03989100456237793
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,0.5,0.0,0.0,random,0.03989100456237793
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,0.75,0.0,0.0,random,0.0219419002532959
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,0.75,0.0,0.0,random,0.0219419002532959
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,0.75,0.0,0.0,random,0.0219419002532959
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,0.75,0.0,0.0,random,0.0219419002532959
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,1.0,0.0,0.0,random,0.017951488494873047
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,1.0,0.0,0.0,random,0.017951488494873047
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,1.0,0.0,0.0,random,0.017951488494873047
0,0.0,0,0.0,3,20,0,{'random': 1},{'random': 1},0.0,1.0,0.0,0.0,random,0.017951488494873047
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,0.25,0.0,0.0,random,0.016953706741333008
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,0.25,0.0,0.0,random,0.016953706741333008
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,0.25,0.0,0.0,random,0.016953706741333008
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,0.25,0.0,0.0,random,0.016953706741333008
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,0.5,0.0,0.0,random,0.016955852508544922
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,0.5,0.0,0.0,random,0.016955852508544922
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,0.5,0.0,0.0,random,0.016955852508544922
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,0.5,0.0,0.0,random,0.016955852508544922
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,0.75,0.0,0.0,random,0.01795339584350586
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,0.75,0.0,0.0,random,0.01795339584350586
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,0.75,0.0,0.0,random,0.01795339584350586
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,0.75,0.0,0.0,random,0.01795339584350586
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,1.0,0.0,0.0,random,0.015990257263183594
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,1.0,0.0,0.0,random,0.015990257263183594
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,1.0,0.0,0.0,random,0.015990257263183594
0,0.0,0,0.0,3,40,0,{'random': 1},{'random': 1},0.0,1.0,0.0,0.0,random,0.015990257263183594
0,0.0,0,0.0,3,60,0,{'random': 1},{'random': 1},0.0,0.25,0.0,0.0,random,0.018950462341308594
0,0.0,0,0.0,3,60,0,{'random': 1},{'random': 1},0.0,0.25,0.0,0.0,random,0.018950462341308594
0,0.0,0,0.0,3,60,0,{'random': 1},{'random': 1},0.0,0.25,0.0,0.0,random,0.018950462341308594
0,0.0,0,0.0,3,60,0,{'random': 1},{'random': 1},0.0,0.25,0.0,0.0,random,0.018950462341308594
